Date,category,Member_number
13/01/2025,Produce,M0077
06/01/2025,Beverages,M0246
29/04/2025,Bakery,M0164
02/02/2025,Frozen,M0027
04/03/2025,Produce,M0151
27/03/2025,Bakery,M0057
23/02/2025,Beverages,M0037
08/01/2025,Meat,M0059
18/02/2025,Bakery,M0081
19/01/2025,Dairy,M0243
14/02/2025,Personal Care,M0225
28/02/2025,Dairy,M0008
09/03/2025,Canned Goods,M0155
26/03/2025,Bakery,M0014
09/01/2025,Canned Goods,M0271
10/02/2025,Produce,M0277
24/04/2025,Frozen,M0200
03/02/2025,Snacks,M0269
14/03/2025,Produce,M0038
13/01/2025,Produce,M0094
25/02/2025,Beverages,M0228
10/01/2025,Bakery,M0159
26/01/2025,Canned Goods,M0096
05/04/2025,Canned Goods,M0231
17/03/2025,Produce,M0096
20/02/2025,Beverages,M0202
08/01/2025,Dairy,M0252
13/01/2025,Produce,M0014
24/01/2025,Frozen,M0007
16/04/2025,Produce,M0001
11/03/2025,Produce,M0224
29/04/2025,Bakery,M0208
05/01/2025,Snacks,M0030
18/02/2025,Dairy,M0049
10/04/2025,Bakery,M0283
11/04/2025,Personal Care,M0295
25/04/2025,Beverages,M0039
14/01/2025,Snacks,M0246
04/01/2025,Beverages,M0295
06/02/2025,Snacks,M0171
16/01/2025,Snacks,M0151
12/03/2025,Frozen,M0171
25/02/2025,Canned Goods,M0073
31/03/2025,Produce,M0210
06/04/2025,Produce,M0241
25/02/2025,Produce,M0169
01/03/2025,Personal Care,M0074
17/04/2025,Produce,M0005
27/01/2025,Snacks,M0071
02/03/2025,Dairy,M0142
06/04/2025,Bakery,M0058
29/01/2025,Bakery,M0175
27/01/2025,Household,M0149
03/02/2025,Snacks,M0220
21/02/2025,Meat,M0154
21/04/2025,Dairy,M0056
30/01/2025,Produce,M0137
11/02/2025,Meat,M0072
21/04/2025,Personal Care,M0249
02/01/2025,Bakery,M0042
21/03/2025,Bakery,M0292
01/03/2025,Produce,M0044
19/03/2025,Snacks,M0182
14/01/2025,Personal Care,M0134
03/01/2025,Snacks,M0236
26/01/2025,Meat,M0255
24/02/2025,Produce,M0138
01/03/2025,Produce,M0040
31/01/2025,Meat,M0257
13/02/2025,Household,M0145
26/04/2025,Beverages,M0193
16/02/2025,Bakery,M0263
15/04/2025,Canned Goods,M0206
12/04/2025,Produce,M0226
15/04/2025,Snacks,M0098
27/02/2025,Produce,M0158
04/01/2025,Produce,M0028
01/02/2025,Beverages,M0211
08/01/2025,Snacks,M0118
08/02/2025,Bakery,M0098
31/01/2025,Household,M0240
06/02/2025,Snacks,M0152
15/04/2025,Dairy,M0148
12/04/2025,Dairy,M0021
31/01/2025,Household,M0047
07/01/2025,Snacks,M0290
12/02/2025,Meat,M0268
24/04/2025,Bakery,M0171
12/03/2025,Canned Goods,M0110
20/04/2025,Produce,M0122
25/03/2025,Produce,M0008
10/03/2025,Household,M0257
23/02/2025,Produce,M0174
20/02/2025,Produce,M0152
10/03/2025,Meat,M0100
30/03/2025,Canned Goods,M0063
09/03/2025,Frozen,M0067
24/02/2025,Bakery,M0104
19/04/2025,Canned Goods,M0110
30/04/2025,Snacks,M0110
19/04/2025,Personal Care,M0238
06/04/2025,Household,M0139
15/02/2025,Household,M0298
01/01/2025,Bakery,M0218
09/01/2025,Bakery,M0051
01/04/2025,Household,M0235
22/04/2025,Produce,M0290
27/04/2025,Produce,M0109
16/01/2025,Bakery,M0024
22/01/2025,Bakery,M0212
07/03/2025,Snacks,M0188
02/03/2025,Produce,M0281
20/04/2025,Dairy,M0259
29/01/2025,Snacks,M0287
20/04/2025,Beverages,M0088
07/04/2025,Produce,M0247
29/03/2025,Frozen,M0258
23/01/2025,Produce,M0259
21/04/2025,Bakery,M0251
15/01/2025,Frozen,M0021
30/01/2025,Snacks,M0171
23/03/2025,Personal Care,M0030
04/04/2025,Beverages,M0169
19/01/2025,Beverages,M0017
28/02/2025,Bakery,M0206
02/04/2025,Bakery,M0017
01/03/2025,Bakery,M0180
30/03/2025,Beverages,M0015
19/01/2025,Meat,M0239
11/03/2025,Snacks,M0122
14/02/2025,Meat,M0123
14/02/2025,Produce,M0253
12/04/2025,Beverages,M0124
13/02/2025,Dairy,M0059
21/02/2025,Frozen,M0065
06/03/2025,Meat,M0255
06/03/2025,Beverages,M0098
24/03/2025,Bakery,M0111
30/01/2025,Bakery,M0050
26/02/2025,Meat,M0151
26/03/2025,Produce,M0176
15/02/2025,Bakery,M0190
08/01/2025,Canned Goods,M0153
01/03/2025,Produce,M0292
07/04/2025,Dairy,M0264
14/01/2025,Canned Goods,M0070
11/01/2025,Canned Goods,M0125
03/02/2025,Frozen,M0181
24/03/2025,Beverages,M0289
06/01/2025,Bakery,M0220
12/04/2025,Produce,M0125
23/03/2025,Produce,M0106
01/04/2025,Snacks,M0156
15/03/2025,Produce,M0041
06/01/2025,Dairy,M0140
27/03/2025,Snacks,M0265
17/01/2025,Bakery,M0264
03/02/2025,Beverages,M0188
15/04/2025,Snacks,M0124
17/04/2025,Produce,M0274
23/03/2025,Produce,M0037
02/03/2025,Meat,M0071
17/01/2025,Dairy,M0110
09/02/2025,Produce,M0084
24/04/2025,Produce,M0238
20/04/2025,Produce,M0224
28/01/2025,Produce,M0232
04/01/2025,Beverages,M0009
15/02/2025,Beverages,M0111
29/04/2025,Canned Goods,M0091
24/01/2025,Snacks,M0077
25/02/2025,Bakery,M0077
27/02/2025,Canned Goods,M0293
20/04/2025,Produce,M0052
13/01/2025,Dairy,M0155
17/01/2025,Frozen,M0199
28/04/2025,Bakery,M0251
09/03/2025,Dairy,M0182
10/04/2025,Meat,M0274
07/04/2025,Produce,M0193
06/04/2025,Frozen,M0026
09/03/2025,Produce,M0196
23/03/2025,Bakery,M0112
21/01/2025,Personal Care,M0282
30/03/2025,Canned Goods,M0166
18/04/2025,Frozen,M0100
23/03/2025,Household,M0139
09/03/2025,Produce,M0158
07/04/2025,Canned Goods,M0175
10/03/2025,Meat,M0135
08/01/2025,Snacks,M0263
23/04/2025,Snacks,M0068
08/03/2025,Frozen,M0114
24/04/2025,Household,M0286
24/01/2025,Snacks,M0229
22/03/2025,Canned Goods,M0141
06/03/2025,Produce,M0217
20/04/2025,Bakery,M0295
12/03/2025,Bakery,M0173
08/02/2025,Dairy,M0083
30/04/2025,Produce,M0208
28/04/2025,Frozen,M0188
31/01/2025,Personal Care,M0297
18/04/2025,Frozen,M0075
30/04/2025,Produce,M0132
05/01/2025,Bakery,M0036
03/04/2025,Snacks,M0172
16/01/2025,Dairy,M0242
11/02/2025,Canned Goods,M0133
02/02/2025,Beverages,M0223
28/03/2025,Dairy,M0155
16/03/2025,Household,M0271
08/03/2025,Meat,M0254
22/04/2025,Household,M0014
03/04/2025,Produce,M0030
11/02/2025,Dairy,M0225
31/01/2025,Snacks,M0129
02/04/2025,Produce,M0263
26/03/2025,Bakery,M0038
28/02/2025,Personal Care,M0062
02/04/2025,Meat,M0241
13/01/2025,Meat,M0187
18/01/2025,Canned Goods,M0179
28/03/2025,Personal Care,M0164
17/03/2025,Frozen,M0010
24/04/2025,Canned Goods,M0111
22/02/2025,Snacks,M0029
23/01/2025,Bakery,M0275
16/01/2025,Bakery,M0279
13/02/2025,Personal Care,M0061
28/04/2025,Personal Care,M0178
19/02/2025,Canned Goods,M0204
16/01/2025,Bakery,M0135
11/02/2025,Personal Care,M0227
08/04/2025,Household,M0223
19/04/2025,Dairy,M0199
11/03/2025,Snacks,M0071
30/01/2025,Bakery,M0208
10/01/2025,Produce,M0021
27/04/2025,Dairy,M0179
22/01/2025,Beverages,M0287
17/04/2025,Bakery,M0287
09/04/2025,Produce,M0037
15/02/2025,Produce,M0204
05/03/2025,Dairy,M0226
08/04/2025,Produce,M0085
09/02/2025,Meat,M0162
27/01/2025,Bakery,M0233
09/04/2025,Produce,M0021
30/01/2025,Personal Care,M0288
27/02/2025,Household,M0294
06/02/2025,Snacks,M0180
24/04/2025,Snacks,M0059
23/04/2025,Canned Goods,M0015
25/01/2025,Dairy,M0114
07/01/2025,Produce,M0157
29/03/2025,Dairy,M0023
30/01/2025,Personal Care,M0124
12/04/2025,Bakery,M0035
19/02/2025,Personal Care,M0232
26/01/2025,Produce,M0108
02/01/2025,Bakery,M0117
04/04/2025,Household,M0069
23/04/2025,Meat,M0090
03/02/2025,Produce,M0118
21/02/2025,Snacks,M0055
27/03/2025,Bakery,M0058
30/04/2025,Canned Goods,M0256
02/01/2025,Beverages,M0288
29/03/2025,Beverages,M0183
08/02/2025,Produce,M0120
09/02/2025,Beverages,M0142
10/01/2025,Frozen,M0061
02/01/2025,Frozen,M0148
02/04/2025,Dairy,M0003
13/01/2025,Canned Goods,M0146
04/04/2025,Bakery,M0219
11/04/2025,Beverages,M0011
03/04/2025,Produce,M0110
21/01/2025,Produce,M0101
09/04/2025,Bakery,M0162
24/02/2025,Meat,M0206
22/04/2025,Meat,M0155
12/02/2025,Dairy,M0167
24/02/2025,Beverages,M0229
01/04/2025,Bakery,M0145
09/04/2025,Snacks,M0237
27/04/2025,Snacks,M0013
14/03/2025,Canned Goods,M0090
28/02/2025,Household,M0009
29/01/2025,Beverages,M0153
10/02/2025,Bakery,M0181
19/01/2025,Meat,M0213
29/03/2025,Dairy,M0093
16/03/2025,Bakery,M0101
01/03/2025,Bakery,M0166
09/02/2025,Snacks,M0183
11/03/2025,Household,M0159
16/04/2025,Beverages,M0159
06/02/2025,Frozen,M0248
14/03/2025,Household,M0080
20/02/2025,Frozen,M0253
03/03/2025,Snacks,M0110
17/02/2025,Meat,M0277
02/04/2025,Meat,M0250
25/03/2025,Frozen,M0262
11/01/2025,Meat,M0038
29/01/2025,Bakery,M0052
25/04/2025,Snacks,M0202
15/04/2025,Snacks,M0132
15/02/2025,Dairy,M0094
23/02/2025,Frozen,M0211
22/03/2025,Bakery,M0038
04/03/2025,Produce,M0078
10/03/2025,Bakery,M0077
24/01/2025,Canned Goods,M0047
07/03/2025,Produce,M0290
27/01/2025,Snacks,M0126
07/03/2025,Snacks,M0248
06/03/2025,Beverages,M0021
20/01/2025,Bakery,M0249
19/01/2025,Personal Care,M0065
22/04/2025,Beverages,M0195
23/01/2025,Frozen,M0240
16/04/2025,Frozen,M0144
12/03/2025,Produce,M0185
16/04/2025,Dairy,M0079
12/04/2025,Canned Goods,M0215
11/02/2025,Snacks,M0188
15/01/2025,Frozen,M0092
15/01/2025,Produce,M0040
13/04/2025,Snacks,M0226
26/02/2025,Bakery,M0275
31/03/2025,Snacks,M0090
03/01/2025,Snacks,M0124
19/02/2025,Dairy,M0142
10/02/2025,Snacks,M0266
04/02/2025,Meat,M0232
02/04/2025,Beverages,M0022
10/02/2025,Meat,M0195
10/04/2025,Dairy,M0107
02/02/2025,Snacks,M0046
02/02/2025,Dairy,M0181
21/04/2025,Snacks,M0156
11/01/2025,Beverages,M0079
22/03/2025,Produce,M0111
24/01/2025,Produce,M0020
09/03/2025,Snacks,M0042
30/04/2025,Beverages,M0257
12/02/2025,Beverages,M0172
10/02/2025,Frozen,M0077
26/02/2025,Personal Care,M0045
25/02/2025,Produce,M0114
28/01/2025,Beverages,M0057
11/01/2025,Canned Goods,M0101
11/01/2025,Bakery,M0174
30/04/2025,Canned Goods,M0068
07/03/2025,Dairy,M0021
28/01/2025,Produce,M0122
08/03/2025,Beverages,M0248
26/01/2025,Canned Goods,M0162
19/04/2025,Snacks,M0042
22/01/2025,Dairy,M0092
20/01/2025,Beverages,M0246
24/04/2025,Produce,M0184
21/02/2025,Beverages,M0187
26/04/2025,Dairy,M0290
31/01/2025,Snacks,M0169
12/03/2025,Snacks,M0119
03/04/2025,Snacks,M0267
29/01/2025,Canned Goods,M0040
02/04/2025,Snacks,M0114
18/04/2025,Bakery,M0093
06/02/2025,Canned Goods,M0300
09/03/2025,Bakery,M0040
02/04/2025,Canned Goods,M0010
13/04/2025,Canned Goods,M0158
04/03/2025,Beverages,M0092
16/03/2025,Bakery,M0273
14/04/2025,Bakery,M0190
01/03/2025,Canned Goods,M0147
25/03/2025,Snacks,M0149
25/01/2025,Meat,M0014
25/02/2025,Beverages,M0264
06/04/2025,Canned Goods,M0209
12/03/2025,Snacks,M0159
24/02/2025,Snacks,M0125
26/04/2025,Personal Care,M0153
29/03/2025,Dairy,M0230
02/04/2025,Meat,M0154
04/01/2025,Produce,M0284
28/03/2025,Beverages,M0204
15/04/2025,Meat,M0042
28/04/2025,Bakery,M0133
03/03/2025,Frozen,M0185
03/03/2025,Dairy,M0127
18/01/2025,Beverages,M0238
03/02/2025,Bakery,M0164
20/02/2025,Meat,M0039
25/03/2025,Bakery,M0260
23/04/2025,Dairy,M0026
17/01/2025,Household,M0028
25/04/2025,Dairy,M0012
25/01/2025,Household,M0287
08/03/2025,Beverages,M0121
09/03/2025,Produce,M0239
13/01/2025,Produce,M0219
31/03/2025,Frozen,M0150
28/04/2025,Snacks,M0102
23/02/2025,Frozen,M0003
25/02/2025,Bakery,M0275
27/03/2025,Beverages,M0226
18/03/2025,Beverages,M0170
08/01/2025,Snacks,M0054
17/04/2025,Canned Goods,M0119
23/02/2025,Meat,M0013
15/03/2025,Frozen,M0236
09/01/2025,Beverages,M0167
12/01/2025,Beverages,M0175
31/03/2025,Snacks,M0155
25/01/2025,Bakery,M0091
02/01/2025,Canned Goods,M0237
03/02/2025,Meat,M0028
15/04/2025,Produce,M0028
02/02/2025,Household,M0045
27/02/2025,Household,M0244
28/04/2025,Dairy,M0292
19/01/2025,Snacks,M0079
09/02/2025,Bakery,M0005
20/03/2025,Canned Goods,M0030
06/02/2025,Beverages,M0003
13/02/2025,Canned Goods,M0091
25/01/2025,Beverages,M0087
28/02/2025,Snacks,M0235
23/01/2025,Meat,M0086
01/04/2025,Snacks,M0074
12/03/2025,Frozen,M0100
21/03/2025,Bakery,M0199
11/03/2025,Canned Goods,M0177
12/02/2025,Bakery,M0197
03/03/2025,Produce,M0123
08/03/2025,Canned Goods,M0280
07/02/2025,Bakery,M0129
16/04/2025,Bakery,M0038
28/02/2025,Meat,M0216
16/03/2025,Household,M0261
27/01/2025,Bakery,M0071
20/03/2025,Beverages,M0148
08/01/2025,Produce,M0209
18/01/2025,Snacks,M0128
10/01/2025,Beverages,M0208
15/02/2025,Snacks,M0143
15/03/2025,Beverages,M0205
07/01/2025,Produce,M0076
26/04/2025,Canned Goods,M0164
10/02/2025,Produce,M0211
21/02/2025,Produce,M0017
18/02/2025,Produce,M0214
18/04/2025,Meat,M0047
11/04/2025,Frozen,M0009
03/01/2025,Bakery,M0231
07/04/2025,Canned Goods,M0161
17/03/2025,Personal Care,M0299
27/03/2025,Household,M0231
26/02/2025,Canned Goods,M0143
24/02/2025,Household,M0249
19/01/2025,Produce,M0228
17/01/2025,Snacks,M0201
30/01/2025,Produce,M0256
11/01/2025,Snacks,M0085
15/01/2025,Bakery,M0190
21/04/2025,Canned Goods,M0247
20/03/2025,Bakery,M0026
04/01/2025,Snacks,M0281
16/01/2025,Produce,M0020
02/04/2025,Beverages,M0265
17/01/2025,Bakery,M0292
24/04/2025,Canned Goods,M0135
20/04/2025,Beverages,M0154
23/02/2025,Produce,M0109
06/01/2025,Household,M0082
01/01/2025,Canned Goods,M0123
14/02/2025,Produce,M0172
09/01/2025,Dairy,M0111
16/03/2025,Produce,M0124
19/04/2025,Beverages,M0045
12/01/2025,Meat,M0114
10/03/2025,Dairy,M0284
20/04/2025,Snacks,M0063
13/03/2025,Meat,M0203
06/01/2025,Bakery,M0102
12/01/2025,Frozen,M0291
03/02/2025,Meat,M0258
03/01/2025,Canned Goods,M0019
03/03/2025,Canned Goods,M0165
10/03/2025,Personal Care,M0207
15/03/2025,Personal Care,M0125
20/01/2025,Meat,M0101
25/01/2025,Frozen,M0208
18/01/2025,Personal Care,M0185
15/03/2025,Snacks,M0225
24/02/2025,Produce,M0086
04/01/2025,Snacks,M0226
05/01/2025,Frozen,M0075
03/04/2025,Produce,M0183
27/02/2025,Bakery,M0229
06/04/2025,Produce,M0131
26/03/2025,Snacks,M0247
22/04/2025,Produce,M0289
15/04/2025,Household,M0290
08/01/2025,Frozen,M0055
11/02/2025,Bakery,M0051
11/01/2025,Beverages,M0160
03/01/2025,Dairy,M0031
28/01/2025,Produce,M0086
07/03/2025,Produce,M0213
24/04/2025,Snacks,M0155
11/04/2025,Household,M0184
19/01/2025,Produce,M0104
28/02/2025,Snacks,M0015
02/02/2025,Bakery,M0258
29/03/2025,Dairy,M0055
20/04/2025,Meat,M0011
03/02/2025,Canned Goods,M0005
02/02/2025,Beverages,M0219
24/02/2025,Meat,M0248
22/02/2025,Bakery,M0089
04/01/2025,Dairy,M0034
12/01/2025,Personal Care,M0209
22/04/2025,Bakery,M0201
01/04/2025,Snacks,M0038
15/04/2025,Canned Goods,M0050
14/04/2025,Produce,M0227
05/01/2025,Snacks,M0107
22/04/2025,Canned Goods,M0161
22/01/2025,Beverages,M0133
20/03/2025,Personal Care,M0015
22/03/2025,Household,M0086
14/04/2025,Bakery,M0243
22/04/2025,Bakery,M0271
09/01/2025,Produce,M0096
25/03/2025,Personal Care,M0269
16/02/2025,Produce,M0195
28/02/2025,Snacks,M0267
18/03/2025,Household,M0204
30/01/2025,Household,M0044
24/01/2025,Snacks,M0117
15/04/2025,Snacks,M0247
12/04/2025,Beverages,M0127
21/03/2025,Canned Goods,M0257
22/01/2025,Frozen,M0116
03/04/2025,Snacks,M0154
27/03/2025,Frozen,M0178
07/01/2025,Produce,M0086
10/01/2025,Personal Care,M0101
24/04/2025,Frozen,M0146
19/02/2025,Canned Goods,M0257
23/01/2025,Bakery,M0208
06/04/2025,Beverages,M0181
08/01/2025,Dairy,M0080
04/04/2025,Bakery,M0005
22/04/2025,Produce,M0108
08/04/2025,Snacks,M0196
21/01/2025,Meat,M0157
10/02/2025,Produce,M0033
08/02/2025,Beverages,M0045
16/01/2025,Beverages,M0067
07/02/2025,Household,M0223
30/04/2025,Dairy,M0181
11/01/2025,Beverages,M0208
24/04/2025,Snacks,M0039
31/01/2025,Beverages,M0252
18/01/2025,Canned Goods,M0139
31/03/2025,Canned Goods,M0280
28/04/2025,Dairy,M0036
26/02/2025,Snacks,M0236
30/04/2025,Frozen,M0241
07/03/2025,Produce,M0139
15/01/2025,Bakery,M0082
21/02/2025,Dairy,M0231
16/02/2025,Frozen,M0141
02/03/2025,Canned Goods,M0195
23/02/2025,Meat,M0183
25/03/2025,Produce,M0055
13/02/2025,Produce,M0261
31/03/2025,Snacks,M0233
13/04/2025,Snacks,M0292
13/01/2025,Snacks,M0241
16/01/2025,Produce,M0027
06/04/2025,Bakery,M0255
10/01/2025,Produce,M0111
08/02/2025,Meat,M0053
19/02/2025,Snacks,M0078
15/02/2025,Household,M0263
29/03/2025,Bakery,M0111
05/02/2025,Bakery,M0291
20/01/2025,Snacks,M0043
01/02/2025,Frozen,M0265
04/02/2025,Canned Goods,M0014
22/02/2025,Dairy,M0241
30/04/2025,Produce,M0001
01/04/2025,Household,M0262
14/04/2025,Produce,M0190
17/02/2025,Produce,M0211
05/01/2025,Canned Goods,M0033
09/02/2025,Dairy,M0038
09/02/2025,Canned Goods,M0065
15/02/2025,Personal Care,M0004
28/02/2025,Beverages,M0161
08/03/2025,Produce,M0057
18/03/2025,Household,M0172
05/01/2025,Household,M0101
19/03/2025,Meat,M0073
23/01/2025,Meat,M0230
03/03/2025,Frozen,M0093
25/03/2025,Beverages,M0248
15/02/2025,Canned Goods,M0019
22/04/2025,Snacks,M0210
02/04/2025,Household,M0019
03/02/2025,Produce,M0230
08/01/2025,Household,M0147
25/01/2025,Snacks,M0146
18/02/2025,Dairy,M0015
03/03/2025,Bakery,M0022
25/01/2025,Bakery,M0083
02/02/2025,Bakery,M0249
22/01/2025,Produce,M0134
14/04/2025,Produce,M0143
27/03/2025,Dairy,M0134
07/02/2025,Produce,M0073
26/02/2025,Snacks,M0135
14/01/2025,Snacks,M0057
24/01/2025,Bakery,M0142
18/03/2025,Bakery,M0203
07/04/2025,Produce,M0113
03/02/2025,Canned Goods,M0098
20/01/2025,Produce,M0082
02/02/2025,Produce,M0008
29/04/2025,Beverages,M0083
07/01/2025,Beverages,M0036
05/01/2025,Canned Goods,M0156
09/04/2025,Snacks,M0146
21/02/2025,Beverages,M0158
20/03/2025,Meat,M0136
12/03/2025,Snacks,M0134
03/02/2025,Snacks,M0291
01/04/2025,Bakery,M0019
30/01/2025,Frozen,M0034
28/02/2025,Produce,M0170
28/03/2025,Produce,M0068
07/03/2025,Meat,M0188
18/04/2025,Meat,M0041
11/01/2025,Dairy,M0244
13/04/2025,Frozen,M0221
11/02/2025,Produce,M0051
25/04/2025,Bakery,M0055
11/04/2025,Produce,M0152
30/04/2025,Meat,M0163
19/04/2025,Canned Goods,M0206
17/04/2025,Canned Goods,M0263
13/02/2025,Produce,M0213
19/01/2025,Meat,M0040
02/02/2025,Bakery,M0039
04/02/2025,Frozen,M0243
14/03/2025,Snacks,M0290
03/01/2025,Frozen,M0043
11/03/2025,Beverages,M0243
11/03/2025,Beverages,M0080
19/03/2025,Personal Care,M0255
08/01/2025,Frozen,M0006
19/01/2025,Beverages,M0223
10/03/2025,Frozen,M0091
31/03/2025,Snacks,M0260
17/02/2025,Snacks,M0125
01/04/2025,Canned Goods,M0196
01/03/2025,Dairy,M0064
01/02/2025,Produce,M0069
17/02/2025,Meat,M0017
22/02/2025,Beverages,M0072
05/02/2025,Canned Goods,M0079
19/03/2025,Produce,M0171
08/03/2025,Meat,M0108
30/04/2025,Produce,M0010
21/01/2025,Beverages,M0096
21/04/2025,Frozen,M0135
15/03/2025,Frozen,M0041
11/01/2025,Snacks,M0195
28/01/2025,Personal Care,M0041
28/02/2025,Meat,M0206
27/04/2025,Household,M0027
25/01/2025,Snacks,M0184
25/02/2025,Produce,M0094
04/02/2025,Frozen,M0172
07/03/2025,Canned Goods,M0209
16/02/2025,Canned Goods,M0002
23/04/2025,Frozen,M0118
07/04/2025,Bakery,M0138
10/02/2025,Produce,M0124
29/01/2025,Meat,M0192
23/02/2025,Produce,M0185
07/03/2025,Meat,M0207
31/01/2025,Personal Care,M0152
22/02/2025,Canned Goods,M0083
17/04/2025,Personal Care,M0228
15/04/2025,Household,M0159
13/04/2025,Bakery,M0245
26/04/2025,Household,M0109
10/04/2025,Dairy,M0149
01/03/2025,Beverages,M0266
13/01/2025,Personal Care,M0170
27/01/2025,Snacks,M0054
10/02/2025,Produce,M0065
30/03/2025,Bakery,M0220
12/01/2025,Snacks,M0186
05/02/2025,Canned Goods,M0082
12/04/2025,Produce,M0283
14/03/2025,Bakery,M0042
21/02/2025,Dairy,M0292
28/03/2025,Beverages,M0264
05/01/2025,Bakery,M0104
30/03/2025,Bakery,M0045
18/03/2025,Bakery,M0261
12/03/2025,Dairy,M0018
13/03/2025,Personal Care,M0162
12/01/2025,Meat,M0206
01/02/2025,Canned Goods,M0084
04/04/2025,Snacks,M0125
28/03/2025,Snacks,M0081
12/01/2025,Snacks,M0182
12/02/2025,Bakery,M0083
04/01/2025,Bakery,M0158
23/03/2025,Canned Goods,M0250
21/01/2025,Frozen,M0291
30/03/2025,Household,M0065
05/01/2025,Bakery,M0022
14/01/2025,Snacks,M0239
20/02/2025,Household,M0095
27/01/2025,Bakery,M0220
19/01/2025,Canned Goods,M0184
15/03/2025,Bakery,M0010
16/01/2025,Meat,M0027
14/02/2025,Snacks,M0210
05/03/2025,Snacks,M0129
11/02/2025,Snacks,M0001
04/04/2025,Snacks,M0244
13/03/2025,Dairy,M0049
27/02/2025,Personal Care,M0008
07/04/2025,Bakery,M0126
26/04/2025,Produce,M0293
01/04/2025,Produce,M0274
17/03/2025,Dairy,M0022
28/01/2025,Snacks,M0153
29/03/2025,Bakery,M0029
18/02/2025,Produce,M0170
24/03/2025,Personal Care,M0120
10/03/2025,Produce,M0108
23/04/2025,Bakery,M0117
08/01/2025,Dairy,M0300
27/03/2025,Snacks,M0181
27/03/2025,Beverages,M0032
23/03/2025,Snacks,M0019
09/03/2025,Dairy,M0241
18/03/2025,Meat,M0241
02/01/2025,Dairy,M0150
05/03/2025,Household,M0144
19/03/2025,Bakery,M0257
21/03/2025,Snacks,M0238
09/02/2025,Snacks,M0020
07/04/2025,Beverages,M0120
06/02/2025,Produce,M0048
06/04/2025,Personal Care,M0292
07/03/2025,Personal Care,M0207
20/01/2025,Dairy,M0062
09/02/2025,Dairy,M0277
19/04/2025,Canned Goods,M0183
12/03/2025,Personal Care,M0243
15/01/2025,Snacks,M0092
13/01/2025,Bakery,M0258
01/02/2025,Frozen,M0011
14/03/2025,Bakery,M0030
08/03/2025,Dairy,M0152
19/02/2025,Dairy,M0261
29/03/2025,Frozen,M0034
01/02/2025,Personal Care,M0138
15/03/2025,Household,M0014
18/04/2025,Produce,M0044
01/01/2025,Produce,M0079
12/02/2025,Beverages,M0165
28/01/2025,Canned Goods,M0065
28/04/2025,Dairy,M0119
26/01/2025,Bakery,M0206
09/03/2025,Produce,M0252
27/03/2025,Canned Goods,M0222
01/02/2025,Snacks,M0231
18/01/2025,Frozen,M0270
06/02/2025,Produce,M0166
04/04/2025,Dairy,M0278
13/01/2025,Dairy,M0277
24/03/2025,Produce,M0192
27/02/2025,Produce,M0168
18/04/2025,Snacks,M0161
25/03/2025,Canned Goods,M0277
24/02/2025,Frozen,M0297
12/03/2025,Dairy,M0018
28/01/2025,Bakery,M0286
17/04/2025,Produce,M0066
20/01/2025,Produce,M0002
03/04/2025,Snacks,M0287
